date,satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo
2000/1/5 18:00,-32.24110582,0.0,-35.36185667,0.735885311,0.0,161.5208085,1.432881019,104164.9022,,0,0.92,0.001,0.17
2000/1/5 21:00,-32.44337928,0.0,-35.49894272,0.740250427,0.0,161.984219,1.844846801,104206.8318,,0,0.92,0.001,0.17
2000/1/6 00:00,-32.69673355,0.0,-35.68893415,0.744411744,0.0,161.330201,1.978415755,104224.9219,,0,0.92,0.001,0.17
2000/1/6 03:00,-33.81955003,0.0,-36.73151659,0.748055849,0.017994792,160.3219008,2.392550124,104051.5941,,0,0.92,0.001,0.17
2000/1/6 06:00,-34.33741414,0.0,-37.14746851,0.754731135,0.0,161.2939405,2.556975479,104014.152,,0,0.92,0.001,0.17
2000/1/6 09:00,-34.56524325,0.0,-37.32983269,0.757755354,0.0,161.1247247,2.739021748,104010.5059,,0,0.92,0.001,0.17
2000/1/6 12:00,-34.76974514,0.0,-37.48698037,0.760998103,0.0,160.943422,2.939826863,104000.1287,,0,0.92,0.001,0.17
2000/1/6 15:00,-36.16937787,0.0,-39.02658491,0.747245883,0.017994792,158.7747847,3.488517655,103841.5254,,0,0.92,0.001,0.17
2000/1/6 18:00,-35.96798628,0.0,-38.78918421,0.750460022,0.0,158.7919637,3.05121857,103776.7379,,0,0.92,0.001,0.17
2000/1/6 21:00,-35.80391822,0.0,-38.62345659,0.75093528,0.0,158.8403111,2.947458381,103768.0434,,0,0.92,0.001,0.17
2000/1/7 00:00,-35.08850633,0.0,-37.94360973,0.749706792,0.0,157.3418019,2.547862222,103792.0233,,0,0.92,0.001,0.17
2000/1/7 03:00,-35.49270735,0.0,-38.48963045,0.738012724,0.017994792,155.4582064,2.449875936,103789.4991,,0,0.92,0.001,0.17
2000/1/7 06:00,-34.81091302,0.0,-37.77259195,0.7421731,0.0,154.990842,2.133728849,103764.1169,,0,0.92,0.001,0.17
2000/1/7 09:00,-34.56398866,0.0,-37.48997842,0.745411668,0.0,154.2625555,1.886408337,103826.9412,,0,0.92,0.001,0.17
2000/1/7 12:00,-34.77867131,0.0,-37.6389547,0.749963814,0.0,153.3937225,1.670943738,103881.9125,,0,0.92,0.001,0.17
2000/1/7 15:00,-37.46181115,0.0,-40.39646096,0.738439937,0.017994792,153.0944696,2.607591709,103887.5218,,0,0.92,0.001,0.17
2000/1/7 18:00,-38.17034251,0.0,-40.97662858,0.746910632,0.0,153.2659529,3.009060942,103899.4416,,0,0.92,0.001,0.17
2000/1/7 21:00,-37.94150497,0.0,-40.71909722,0.749664532,0.0,153.6748155,2.830912746,103922.8604,,0,0.92,0.001,0.17
2000/1/8 00:00,-37.37894925,0.0,-40.18728847,0.748454762,0.0,153.0317809,2.587320895,103977.8317,,0,0.92,0.001,0.17
2000/1/8 03:00,-39.37496674,0.0,-42.1794974,0.744423659,0.017994792,151.5738525,3.306735865,103952.73,,0,0.92,0.001,0.17
2000/1/8 06:00,-38.86729089,0.0,-41.63945674,0.748100696,0.0,152.4167941,3.196707294,103953.0105,,0,0.92,0.001,0.17
2000/1/8 09:00,-37.85272749,0.0,-40.62526683,0.750252875,0.0,152.6654058,2.770619809,103956.6565,,0,0.92,0.001,0.17
2000/1/8 12:00,-37.2622784,0.0,-40.03720057,0.751323411,0.0,151.9064858,2.455623244,103949.2242,,0,0.92,0.001,0.17
2000/1/8 15:00,-37.53345929,0.0,-40.49848586,0.73593169,0.017994792,152.4374511,2.695795771,103831.8494,,0,0.92,0.001,0.17
2000/1/8 18:00,-37.09594361,0.0,-40.09403429,0.734365114,0.0,152.5083879,2.378545007,103756.6846,,0,0.92,0.001,0.17
2000/1/8 21:00,-35.09046631,0.0,-38.22319929,0.728677414,0.0,152.4822182,1.640372872,103733.9669,,0,0.92,0.001,0.17
