date,QE,QH,RTS0,Lstar
2000-01-01,2.96387579043331,40.5126927500895,-29.638604979721777,-10000
2000-01-02,1.39807400967212,19.1887762844895,-38.38255290140805,-10000
2000-01-03,0.873317443042812,12.0369540378246,-40.51910706997242,-10000
2000-01-04,0.528728789126960,9.31144362493647,-41.85912801966299,-10000
2000-01-05,1.55863995791919,24.6799605977106,-35.23768724690751,-10000
2000-01-06,1.24583084964980,26.8041502629284,-33.951511105302416,-10000
2000-01-07,0.787660598958034,18.8141574521464,-35.28204834302957,-10000
2000-01-08,0.723384800303487,6.64318612890234,-28.74895318659736,-10000
2000-01-09,3.82430158858604,25.4519256992238,-17.496406654214894,-10000
2000-01-10,6.03080824796223,33.5519910204170,-22.81686770019374,-10000
2000-01-11,2.36272799597516,36.6025417227855,-18.1863125376116,-10000
2000-01-12,-34.1295441530012,-2.21736330192790,-7.9868377735467675,-10000
2000-01-13,-26.6898058996210,-5.68665024174694,-6.9121494319588805,-10000
2000-01-14,-32.2579174134895,2.21752760049731,-8.038358356459128,-10000
2000-01-15,-41.6925305457540,15.7662039162393,-8.926528977368037,-10000
2000-01-16,-36.0365026758217,8.38734015897217,-10.806444971115525,-10000
2000-01-17,-44.2641021321876,11.1828849988811,-10.362193942907822,-10000
2000-01-18,-31.6156879466524,-2.58582186807808,-8.828865665303738,-10000
2000-01-19,-47.7850381956028,-8.73894078667178,-7.346675966455223,-10000
2000-01-20,-3.06601991177106,73.3344154116407,-19.668433442134386,-10000
2000-01-21,81.5835455211152,40.2919130122565,23.179553845147268,-10000
2000-01-22,-23.2608163408881,-13.8272298470533,-10.011266916684747,-10000
2000-01-23,-23.5612059403788,-18.8515822115380,-9.393286822673872,-10000
2000-01-24,-20.4805604205573,-13.3971731327957,-9.584937771656769,-10000
2000-01-25,-22.2321879518798,-11.9943001791260,-9.154916866925987,-10000
2000-01-26,-31.6647969645270,-17.1475433384085,-7.939813867366752,-10000
2000-01-27,-34.8607601828012,-11.6149483278191,-8.402313112320485,-10000
2000-01-28,-34.6348914649484,-15.8875315862711,-8.848678368214621,-10000
2000-01-29,-26.2888293685454,-15.3642817363150,-11.489979877888175,-10000
2000-01-30,-22.7779239660077,-18.1961728788192,-11.32608032221242,-10000
2000-01-31,-31.9077436445633,-23.5050052840319,-5.482953950668275,-10000
2000-02-01,-49.4522359048339,-13.9754524337943,-6.207787378582111,-10000
2000-02-02,2.35745508416136,41.5692559711326,-18.534131346348232,-10000
2000-02-03,2.79495889475398,40.0962759913255,-26.80197979367236,-10000
2000-02-04,1.42973466159813,12.4609695244490,-29.355072221620276,-10000
2000-02-05,1.60247833633581,14.5293405445566,-28.014288974573702,-10000
2000-02-06,1.37308026736029,18.0845939863399,-21.11867845917706,-10000
2000-02-07,1.91903779012375,18.5132432003364,-22.105037968155244,-10000
2000-02-08,1.96460353010457,24.3879606542881,-30.25284757657346,-10000
2000-02-09,-0.598208271534925,44.4054154722255,-26.2974925557875,-10000
2000-02-10,0.535821952396457,24.9602246115057,-31.760632162649955,-10000
2000-02-11,-0.168460106586853,34.8212910127349,-23.322703448893833,-10000
2000-02-12,-0.542197953411242,58.3607551700649,-18.38650493945559,-10000
2000-02-13,-3.96248776675553,69.1643769593642,-19.63388819054896,-10000
2000-02-14,-0.575866349492249,44.6394212090717,-25.059471962419906,-10000
2000-02-15,-2.90790952628694,54.3485836141928,-26.18204982838904,-10000
2000-02-16,-2.68963436353640,19.3959958855094,-17.39916803327219,-10000
2000-02-17,-5.00864865481484,54.3089450656157,-17.641122311781686,-10000
2000-02-18,3.24995573615083,32.9846641608340,-27.40058642020685,-10000
2000-02-19,29.6644984589915,17.5519076110305,17.196357368867496,-10000
2000-02-20,-45.8123630834742,-24.2485947766445,-9.099028798704182,-10000
2000-02-21,-73.1738859218583,-2.09468772302295,-8.45007324094712,-10000
2000-02-22,-74.7534943031924,4.87188052406754,-7.646442558168133,-10000
2000-02-23,-69.9667645869563,1.23317260531925,-7.460159733674061,-10000
2000-02-24,-50.8978712188122,-17.6179981448181,-7.644459719392785,-10000
2000-02-25,-44.4598962730997,-23.3638221181268,-6.662465154591075,-10000
2000-02-26,-50.0539183726572,-25.1288078340747,-5.683606151475601,-10000
2000-02-27,-56.4200455668161,-19.2734116477584,-8.795544038794333,-10000
2000-02-28,-52.3649975696326,-25.8661233047355,-5.027878631089834,-10000
2000-02-29,-58.4963813953724,-28.8575806320105,-2.1320752498868387,-10000
2000-03-01,-52.8297122627733,-27.7549190967707,-3.401064643214511,-10000
2000-03-02,-46.7855866809008,-32.9870397032366,-2.314149987577764,-10000
2000-03-03,-60.0287160631427,-26.4492959320905,-5.754879375467681,-10000
2000-03-04,-50.2267550396139,-29.3683135483366,-2.4644733059962505,-10000
2000-03-05,-57.4907321327122,-27.6066786401184,0.45138535969778104,-10000
2000-03-06,-71.0099081485705,-19.2318698154825,-2.9345372940454126,-10000
2000-03-07,-80.7255089271652,-9.62434364263845,-2.7791868207366974,-10000
2000-03-08,-79.2568078822295,-18.8073521356350,-2.374440913116132,-10000
2000-03-09,-63.1207298508651,-25.1290771160905,-4.026850634506559,-10000
2000-03-10,-58.3986544682528,-29.1268015383653,-3.122274442883281,-10000
2000-03-11,-72.6975183355993,-30.5575021539364,-1.6398236065330138,-10000
2000-03-12,-58.8440368419774,-31.3955492727739,0.49241281353516797,-10000
2000-03-13,-62.4299789610001,-29.5435356094117,0.33112973735171636,-10000
2000-03-14,-66.3861666270896,-36.1616863235165,-0.7496418142709445,-10000
2000-03-15,-65.1267932550015,-36.0418184240189,-0.35460956745049543,-10000
2000-03-16,-62.0842708765989,-32.8247659789874,1.5061415360551678,-10000
2000-03-17,-96.5876743133130,-9.35944088815359,-3.157040096361868,-10000
2000-03-18,-80.5663086848906,-25.4186487260499,1.3936510966157698,-10000
2000-03-19,-134.325629928369,20.1590335648984,-3.4298487373858393,-10000
2000-03-20,-90.4208534968181,-10.4840875908285,-2.744962842431903,-10000
2000-03-21,-114.021410478023,-13.6042193706173,-1.3307485204827003,-10000
2000-03-22,-116.094435585051,-7.72337393135125,-0.08967006510152942,-10000
2000-03-23,-121.451226900622,-4.81346528418908,0.024404710406543018,-10000
2000-03-24,-135.378105136614,-1.84127385996453,-1.800038153276546,-10000
2000-03-25,-75.3803682270432,-36.3804716105703,-1.986124714969094,-10000
2000-03-26,-58.8116951983452,-30.3164943103552,3.4421282986938877,-10000
2000-03-27,-82.9060871776201,-30.5320167088355,0.8401073030527755,-10000
2000-03-28,-72.1246504190998,-29.5577820929620,5.536958847809103,-10000
2000-03-29,-78.4936708250702,-30.4376468551511,5.538921723075703,-10000
2000-03-30,-89.0003913935222,-24.2185635645133,6.443944986216081,-10000
2000-03-31,-124.968489554342,-11.6716828500516,3.852468861349621,-10000
2000-04-01,-131.666051724366,-7.21454427986100,3.481278470491361,-10000
2000-04-02,-137.812669660785,-0.657426999577638,-0.2751576802502882,-10000
2000-04-03,-124.510502828148,-24.0195034513270,3.0532889679358846,-10000
