satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo,date
-30.95684703,0.0,-33.98039206,0.745706609,3.638030346,178.6614103,2.863781672,101239.2257,,0,0.92,0.001,0.17,2000/2/9
-29.1589059,0.0,-31.72490844,0.783387976,2.631000399,186.169928,2.97143958,101301.156,,0,0.92,0.001,0.17,2000/2/10
-29.5707016,0.0,-32.33722488,0.767617418,2.946550076,184.8509234,2.603526463,101412.2203,,0,0.92,0.001,0.17,2000/2/11
-28.32700401,0.0,-31.39477831,0.748058766,3.929742052,189.854665,2.867595485,101536.6944,,0,0.92,0.001,0.17,2000/2/12
-27.0539284,0.0,-30.26064366,0.74212067,3.311600802,190.6091063,2.177834167,101582.9538,,0,0.92,0.001,0.17,2000/2/13
-29.66044585,0.0,-32.35595551,0.772781945,6.250421945,171.6382442,2.317831496,101617.3108,,0,0.92,0.001,0.17,2000/2/14
-29.29247933,0.0,-32.08341507,0.766298689,8.809246213,172.030078,3.583262201,101584.3561,,0,0.92,0.001,0.17,2000/2/15
-31.91834177,0.0,-35.27967195,0.719228066,10.92946313,169.2848829,2.524040235,101859.0896,,0,0.92,0.001,0.17,2000/2/16
-33.93539798,0.0,-37.7591583,0.68165461,12.57517137,164.17533,1.552377042,102150.0727,,0,0.92,0.001,0.17,2000/2/17
-31.14483609,0.0,-34.35865013,0.732518041,12.54779404,167.9401023,1.474975817,102148.2496,,0,0.92,0.001,0.17,2000/2/18
-29.58661518,0.0,-32.56096983,0.752199781,13.46412398,170.8772001,4.082458397,102252.1095,,0,0.92,0.001,0.17,2000/2/19
-30.11074775,0.0,-33.09952652,0.750137961,15.37879667,167.1944364,3.640167872,102218.1381,,0,0.92,0.001,0.17,2000/2/20
-32.34405386,0.0,-35.23416558,0.752893899,18.04833187,157.4468958,2.9110494,102119.3792,,0,0.92,0.001,0.17,2000/2/21
-32.63600759,0.0,-35.62024218,0.745182096,21.70586088,154.0221204,3.619028602,101977.7616,,0,0.92,0.001,0.17,2000/2/22
-33.02485135,0.0,-36.01305093,0.744100954,23.29560953,153.9868454,2.694705247,101823.9438,,0,0.92,0.001,0.17,2000/2/23
-34.74311276,0.0,-37.68942889,0.743572102,23.01862178,148.5834103,2.367102105,101715.4387,,0,0.92,0.001,0.17,2000/2/24
-36.96959178,0.0,-39.8822168,0.741650912,27.51035508,140.4328934,1.652269043,102114.734,,0,0.92,0.001,0.17,2000/2/25
-38.05400645,0.0,-40.87982968,0.745829933,30.88684285,140.7389672,2.307590769,102469.8385,,0,0.92,0.001,0.17,2000/2/26
-38.15660546,0.0,-41.21484823,0.727582765,33.80729754,144.6504669,3.169512241,101681.8529,,0,0.92,0.001,0.17,2000/2/27
-36.67971267,0.0,-39.52142744,0.747662825,34.97582448,147.5814964,2.893679676,100553.3471,,0,0.92,0.001,0.17,2000/2/28
-35.89555834,0.0,-38.71335408,0.751366755,34.81813612,146.1078261,1.563744929,100285.9758,,0,0.92,0.001,0.17,2000/2/29
-40.22187112,0.0,-43.57952123,0.699678044,40.59638286,140.3364705,1.622646687,100488.6297,,0,0.92,0.001,0.17,2000/3/1
-39.77739672,0.0,-43.18849568,0.697091259,43.52280758,141.4309234,1.771989821,100595.7675,,0,0.92,0.001,0.17,2000/3/2
-36.71842206,0.0,-39.67378372,0.738674405,45.81931374,142.4577762,1.116297347,100790.8489,,0,0.92,0.001,0.17,2000/3/3
-35.96898989,0.0,-38.97201146,0.737071059,48.61286187,139.7293659,0.646209728,101328.6065,,0,0.92,0.001,0.17,2000/3/4
-36.22046893,0.0,-39.13894118,0.742879612,52.01004663,138.897936,0.609222232,101892.6403,,0,0.92,0.001,0.17,2000/3/5
-35.67143663,0.0,-38.43713516,0.75566849,54.77438071,141.0621521,0.5,101980.5663,,0,0.92,0.001,0.17,2000/3/6
-38.76081271,0.0,-41.37161952,0.762150595,59.2397954,142.7949628,1.881854297,101956.6566,,0,0.92,0.001,0.17,2000/3/7
