date,QE,QH,RTS0,Lstar
2000-01-01,-3.77786793983306,4.77740590397163,-27.95971377067079,-10000
2000-01-02,-2.52866631218079,6.08705999943459,-31.77518965434041,-10000
2000-01-03,-1.65364784830510,4.50139538692702,-33.467634662549386,-10000
2000-01-04,-0.222787041290523,8.63991907469481,-33.94063701977774,-10000
2000-01-05,-0.0202294925581545,7.36797934800423,-34.623493994235815,-10000
2000-01-06,-1.04026802242653,7.50952181452794,-35.41026293581734,-10000
2000-01-07,-0.734551421925373,8.79301331563602,-36.9055077788972,-10000
2000-01-08,-0.784651048464248,7.33874050517261,-38.210881357009555,-10000
2000-01-09,-0.0773327307040561,8.55854412199948,-37.55747755893137,-10000
2000-01-10,-0.941430538335522,5.53234224472945,-36.55857114379387,-10000
2000-01-11,-1.56811036145150,0.750415683203056,-36.298312012686665,-10000
2000-01-12,-1.51881268920000,-1.02305317078162,-37.41252149507264,-10000
2000-01-13,-1.47538972708929,-0.0623927974420440,-39.2555762039502,-10000
2000-01-14,-2.90381022144843,5.84639160734786,-35.116103095765936,-10000
2000-01-15,-2.64908716211252,17.5908246612798,-35.89727496463311,-10000
2000-01-16,-2.12945051746666,12.2136507196356,-37.5551833624136,-10000
2000-01-17,-1.37327479297961,8.02345599175896,-39.89016423689546,-10000
2000-01-18,-1.00845954921631,6.88026440107706,-41.580866923517846,-10000
2000-01-19,-0.823122353040447,5.09524426302505,-43.71680083936394,-10000
2000-01-20,-0.812729840950081,6.48905038552597,-43.500714423234086,-10000
2000-01-21,-1.25606008793361,3.52339010592436,-41.59573019579713,-10000
2000-01-22,-4.07050226299900,-3.40547758840221,-33.001196480077425,-10000
2000-01-23,-12.6281484920784,-0.931403154262144,-21.72057678017245,-10000
2000-01-24,-15.7307071354545,13.4638021091725,-18.88677941955342,-10000
2000-01-25,-8.37226124208507,14.2480990698114,-23.23837243832824,-10000
2000-01-26,-3.22839284533841,14.6555814625399,-28.93687848772157,-10000
2000-01-27,-3.01494788110890,9.16316011691408,-29.348701664064777,-10000
2000-01-28,-7.26458470797758,19.1809685062284,-26.784447412221056,-10000
2000-01-29,-15.1745659947670,15.4381165491571,-22.876335791551583,-10000
2000-01-30,-10.7554555887512,13.3860090657067,-21.835464048850326,-10000
2000-01-31,-9.56876105376652,7.41714494321604,-22.506968086898667,-10000
2000-02-01,-7.49326681867730,7.02259285427863,-23.30750297074178,-10000
2000-02-02,-16.0947652633358,5.65605546538123,-20.221967232725035,-10000
2000-02-03,-15.0336799082870,24.7557757379527,-20.976620269711134,-10000
2000-02-04,-11.2744732462433,16.3450687795230,-21.91270749114821,-10000
2000-02-05,-6.67492909148828,13.5577957598680,-24.74697597077045,-10000
2000-02-06,-4.52785232207085,25.3502497089321,-27.64195701877705,-10000
2000-02-07,-2.64289038793837,15.3365425150223,-31.56084421604274,-10000
2000-02-08,-1.76780178227646,5.93691574051809,-33.33006151552385,-10000
2000-02-09,-2.09682827554270,0.0141505017958207,-30.958068154545003,-10000
2000-02-10,-2.26837455964994,-0.897660405990320,-29.084260037710237,-10000
2000-02-11,-2.06667108924516,-1.16820597293645,-29.45938238782813,-10000
2000-02-12,-2.86972306698145,-2.14984668726512,-28.14362395611539,-10000
2000-02-13,-2.26993391643146,0.262708241138474,-27.084267579913217,-10000
2000-02-14,-1.26148382833238,6.05111692073251,-30.306589283892066,-10000
2000-02-15,-2.24581761028692,6.29482204648153,-29.74028739624356,-10000
2000-02-16,-1.84756563034942,0.372717705854484,-31.95446452592347,-10000
2000-02-17,-1.16344724498886,-1.55453229854766,-33.69317566055307,-10000
2000-02-18,-0.953245627442528,1.24825894876956,-31.369248043251616,-10000
2000-02-19,-2.95071980024755,4.13267966486152,-29.838713802490588,-10000
2000-02-20,-2.53021720010170,4.19963279116109,-30.39408323827365,-10000
2000-02-21,-1.58347924278302,4.11298046971069,-32.68818876649206,-10000
2000-02-22,-1.98815187506596,4.31136470487739,-32.93156358670592,-10000
2000-02-23,-1.53840067553384,1.86805604230540,-33.19371220340858,-10000
2000-02-24,-1.13169251768246,2.06578908499660,-34.954395257364894,-10000
2000-02-25,-0.684798174397406,0.404146623071711,-37.02802721224373,-10000
2000-02-26,-1.01058504317225,-3.96930967017124,-37.64637472241796,-10000
2000-02-27,-1.59924481254259,-9.14199711609990,-37.46807451498259,-10000
2000-02-28,-1.69947006338729,-8.82958810368443,-35.98921456121039,-10000
2000-02-29,-1.17460880754083,-5.60300949900398,-35.2199694094312,-10000
2000-03-01,-1.00830940765241,-13.0863599949355,-38.290958932569566,-10000
2000-03-02,-1.17870106695041,-14.9132511319781,-37.76068470942491,-10000
2000-03-03,0.619345988185635,8.38110330040164,-28.09971617484976,-10000
2000-03-04,-0.613037033138628,-6.27883608120123,-33.61981087957261,-10000
2000-03-05,-0.631928659128164,-7.32324747400639,-33.33333480597889,-10000
2000-03-06,-0.635002612405924,-7.71268262532709,-31.961170481472863,-10000
2000-03-07,-1.51522842348806,-23.2031724660364,-35.83298191284848,-10000
2000-03-08,-4.30050016466836,-31.4887571850608,-31.49661232768733,-10000
2000-03-09,-2.71704699410087,-25.1160042119200,-29.066588676043096,-10000
2000-03-10,-7.82272694715864,-32.5855849003993,-24.551997504319672,-10000
2000-03-11,-1.78471756838641,-10.6866790581561,-24.04956529212936,-10000
2000-03-12,-1.86912341848124,-16.7800287466872,-26.36439811204454,-10000
2000-03-13,-2.57346316885693,-25.0284819897647,-26.359620574237482,-10000
2000-03-14,-5.19905403737329,-34.4647108396898,-25.77486575685552,-10000
