date,QE,QH,RTS0,Lstar,RA
2000-02-29,0.795669916650527,5.49375723209414,-35.04646617474049,9.13995442249185,228.380460624317
2000-03-01,0.858600675273773,13.4870532595949,-38.38386055087875,4.64090751533207,205.529251238484
2000-03-02,1.06744339058549,15.9908913818808,-38.11657355700689,6.72828799331923,156.505022605991
2000-03-03,0.855984942118067,9.96526600207699,-34.82699314092517,2.22357938264297,282.855399534087
2000-03-04,1.17110240791090,9.58254370317309,-34.97794244597401,2.53204426388680,154.459105395466
2000-03-05,0.975608641027076,10.5436349558781,-34.58140801987096,1.14006197179243,233.709343252611
2000-03-06,0.889019180898816,10.8959055375731,-33.143870009016496,-0.451632358650533,348.241087520433
2000-03-07,1.57425271338498,27.7686094508254,-37.50876473003598,14.8300430068360,(68.56343601634657+0j)
2000-03-08,2.74346210822413,32.3668172743292,-31.266363807508498,20.2435675182730,96.1778377805060
2000-03-09,2.24527096403136,25.6231075141552,-29.078231728721704,2.43195407414775,212.244486005270
2000-03-10,5.96438755281936,37.7397581131063,-25.58648357263175,86.1352929755632,34.3641139347220
2000-03-11,1.62098730613630,10.7872327079630,-24.02998035697641,0.596371406797325,456.231150071344
2000-03-12,0.164625146683117,1.40314962236558,-21.08960627535251,-0.0454932728943769,10640.0733869980
2000-03-13,3.33928355883659,38.3769453127352,-30.98823851099195,10.1019198102139,(40.710369346922306+0j)
2000-03-14,3.88735718080708,36.0044132343846,-25.84707751388467,8.46395306896744,122.642982058996
2000-03-15,4.64797759248928,20.6702157475265,-24.34788156088365,108.846250813077,62.0303426507816
2000-03-16,5.37313446475812,35.7768426127159,-23.974254324932133,54.1400884042996,68.3095358967917
2000-03-17,6.90915218717938,28.8207228870479,-21.935320916542224,238.844274677820,44.6101338272478
2000-03-18,8.00774343298780,33.7265704330548,-21.083508250136816,137.043563411428,51.0695159831375
2000-03-19,6.17161092981734,40.3696165694400,-22.688094023915482,30.1013619981833,79.7713599389524
2000-03-20,5.39808324604052,45.2908770516619,-23.842104688117075,16.9436902560277,92.4057246818188
2000-03-21,4.89082209162008,46.9691049411649,-24.02065108360341,4.79810412154131,137.793546833949
2000-03-22,4.03788253656385,31.6459787155643,-20.381740744988974,0.345620393990097,338.448887553469
2000-03-23,0.0774611596267782,0.424650891491044,-10.616175210789947,-0.0213044611689501,67474.0020190075
2000-03-24,4.55597873165473,65.9575004579565,-30.512904885319728,121.603755874387,(11.489662250772087+0j)
2000-03-25,4.53452830224637,56.1926859158307,-26.311484639789427,4.41924324699967,135.034053396442
2000-03-26,4.75207615452820,60.1028549178604,-26.600276124533877,5.56224933937851,105.852635165063
2000-03-27,6.50823703365098,63.8165151204148,-23.632264098530584,14.1505461595033,79.8234390178094
2000-03-28,12.6211799468353,53.5406825715190,-16.06997162154181,59.7529632744705,56.0116371961321
2000-03-29,12.1701459725266,33.9350579513030,-12.020994789233669,35.5933971299422,78.4652610611407
2000-03-30,13.0337509998193,52.0337660755358,-13.628659246069958,21.0118046961663,81.2854958139821
2000-03-31,8.87708505111119,36.3883624823825,-14.503549232819523,4.67868589593655,150.524614456311
2000-04-01,9.19443073556570,52.0483849153825,-17.139176823373987,5.39272217838581,113.455890974759
