date,QE,QH,RTS0,Lstar,RA
2000-01-01,-2.54566646393359,-40.7042351049485,-29.709256517075175,-0.473764496607520,286.7919438011536
2000-01-02,-1.99999385770127,-49.9633107225631,-28.16056578370464,-1.17345914492163,197.99022686555168
2000-01-03,-2.19470122547714,-47.1815188159617,-28.45855272039651,-0.712786852028331,238.040589120087
2000-01-04,-1.32988331683716,-47.2583148471261,-28.900549215441487,-0.532428996983301,262.3080681227118
2000-01-05,-0.706116529494631,-55.0437260664169,-25.938148228327123,-1.45843674575254,178.16749914272975
2000-01-06,0.742678866992145,-56.9752630269170,-25.181521096546646,-1.57498069203099,171.56716581777349
2000-01-07,0.828423833578686,-50.4907376547936,-25.81421483293971,-1.14775295789424,198.49419159530183
2000-01-08,-1.36168097471089,-27.5938365431803,-22.351452398568483,-0.680351437862890,288.3508345661346
2000-01-09,-2.29676137514659,-32.0255662218017,-16.148470913420397,-5.38597336636237,137.4241210525577
2000-01-10,-4.95180467092697,-48.6633911781844,-18.88622152510763,-3.19624568365134,142.15698761409203
2000-01-11,0.519912278551672,-47.2846067676146,-16.095137155015834,-4.81858432067827,125.68368155643883
2000-01-12,25.0824352098170,8.22046600603881,-7.207845552660331,38.6893604960360,97.07557800274203
2000-01-13,19.6862049869227,8.96587801537544,-5.971380352107303,7.34095913661199,166.39241182493802
2000-01-14,24.8649606914714,2.38120455898206,-7.322615480890306,55.7903975783915,115.65904782422685
2000-01-15,32.1299263136428,-9.63029702013000,-8.040763388448795,-68.6284280279750,87.38225386301569
2000-01-16,26.9375016422709,-2.46328032655106,-9.967790615843569,-397.258797716973,106.31866190996544
2000-01-17,32.6544954375564,-3.22732558152529,-9.402526511232907,-516.040081799135,84.59138531169884
2000-01-18,24.4140806346597,6.55476008853634,-7.993937997219746,11.9469176781913,153.43711733533488
2000-01-19,34.8157740921060,16.6783571464214,-6.072316079861025,13.6524363736004,110.26508981467666
2000-01-20,2.08793157770618,-72.6470024392547,-19.58817974330097,-9.12054755412524,87.82256781894871
2000-01-21,18.3301155205007,14.7027905999862,-10.74277708670121,5.44908496106667,158.9791759881196
2000-01-22,18.9865154317629,16.1659364116633,-9.503640778343652,4.42069393003434,165.20214438944936
2000-01-23,19.3736923527293,21.1044764205387,-8.889460026808706,3.10776183458468,171.0089956783569
2000-01-24,17.2026384841660,15.0419867965280,-9.158517234686599,2.76359432727694,198.36116756693264
2000-01-25,18.9609748723550,13.5469841887485,-8.708430463713,2.20585603618857,220.65175403297232
2000-01-26,25.8515834701374,20.3539085124830,-7.27262750909631,3.95874479197657,158.87550777560887
2000-01-27,27.5105285171490,15.9973156889907,-7.639161851120377,8.58114134946495,131.56165120909313
2000-01-28,27.1955975123765,20.3706468339585,-8.084683326393304,7.26860402601516,129.2476970879421
2000-01-29,20.6326774893390,18.7632769478855,-10.88826286220916,6.88083812112495,136.1063919665428
