date,QE,QH,RTS0,Lstar,RA
2000-01-01,2.43632497321474,-3.64020322013221,-27.893307627768593,-327.821267395888,81.96776588174947
2000-01-02,1.66788647710014,-5.35793140402347,-31.730339024274258,-154.309944033920,92.0350102432195
2000-01-03,1.18640149093638,-4.12204098704979,-33.437050383838084,-86.8161339525295,121.6685113427717
2000-01-04,0.446195296607644,-10.3656675299903,-33.41637695279056,-5.77590359049630,219.8168469498515
2000-01-05,0.281125330667021,-10.4868676936728,-33.62060334198665,-3.38552289912101,261.882633558688
2000-01-06,0.759836552925481,-7.28345733354854,-35.3908756373489,-39.2892304261796,130.7453574088004
2000-01-07,0.555926613134008,-8.65250702091544,-36.891654481335365,-21.4148327759396,150.95254346465993
2000-01-08,0.579461284228117,-7.17341449344576,-38.19615104978189,-34.3370187750170,137.34900453165028
2000-01-09,0.268993242549777,-10.7841916445891,-36.81556417627627,-4.62839846041984,233.15330897762323
2000-01-10,0.733202453606509,-5.42485321298909,-36.5221258906962,-50.8988232473101,131.76072181699095
2000-01-11,1.07316043914636,-0.335152289493180,-36.26957663573481,-2058.97092618358,103.56187576349457
2000-01-12,1.04194532673609,1.42302929138350,-37.384399007291364,352.849853550751,105.8424495340909
2000-01-13,0.961298133901701,0.504871165818258,-39.22875986937555,1457.94350996789,90.93427148255363
2000-01-14,1.65373638069554,-4.73392373252773,-35.06722350617093,-540.677840354462,62.49738793467947
2000-01-15,1.43617429104506,-16.4957354015469,-35.85500585312997,-202.812309733769,56.91414926685391
2000-01-16,1.19546276009228,-11.3745133388693,-37.52043084657569,-230.346675766351,61.879622143673615
2000-01-17,0.864633465767806,-7.57908243131169,-39.865901151402994,-145.073368768359,82.78624747108272
2000-01-18,0.669984802446469,-6.58942379375048,-41.56248609500798,-104.567062628560,96.81419313998052
2000-01-19,0.543872308721272,-4.85356747625428,-43.70189322272918,-147.676180559785,95.63917448406083
2000-01-20,0.548821444734562,-6.28051833863492,-43.4788061899263,-119.060628376162,94.3892426304265
2000-01-21,0.797054845439869,-3.12398002497321,-41.572730166425174,-357.552420621219,82.90708353249185
2000-01-22,2.30023982749322,4.98253177373772,-32.93437076859715,502.769531413877,62.28325419863878
2000-01-23,6.37012847501806,6.58758858343663,-21.539317723367674,972.183835087133,44.97011007308594
2000-01-24,7.45650719291097,-5.91547778207496,-18.6754253640309,-1995.29702944818,38.355688205708915
2000-01-25,4.41680226322462,-10.7064762144973,-23.111409038026665,-469.021820767855,49.96338309357011
2000-01-26,1.93788877665734,-13.5332715494587,-28.881556621344515,-131.947206059328,70.06722916105157
2000-01-27,1.91158884675652,-8.23632130494025,-29.290347617118073,-166.902729393948,76.83109393067915
2000-01-28,3.63818693911021,-15.8939980912164,-26.675739806807,-424.234942093739,45.29963601849298
2000-01-29,6.55843223741349,-7.45521344358349,-22.68298155301619,-2273.77666668614,33.67876646010077
2000-01-30,5.47783326169131,-8.63277509402815,-21.677291648040523,-789.182688271162,45.30144031809945
2000-01-31,5.11145679900531,-3.43884413592605,-22.36131031856354,-1473.96811410411,51.015108081898504
2000-02-01,4.30404697718681,-4.22700403939598,-23.186633750179112,-695.711527314244,60.58116959781642
2000-02-02,7.55552047670103,2.15003240626174,-20.005102966298438,4152.45297574881,38.30224828731825
2000-02-03,7.35675047951927,-17.7852037187986,-20.765794994473566,-479.464487436472,41.95689676341094
2000-02-04,5.96564749336082,-11.5957079502396,-21.743810034081662,-445.637356500844,49.75308498350282
2000-02-05,3.79806211081227,-11.0234214610200,-24.639961994540045,-265.880494542258,59.953049844956546
2000-02-06,2.63939378935770,-23.6929069557218,-27.567144479492555,-96.8670597075464,64.75002118794664
2000-02-07,1.67439840939636,-14.5055011006871,-31.514142937789217,-78.1203000915782,81.88671491505269
2000-02-08,1.26802628018626,-5.53320764542059,-33.29669045287801,-63.2028903670807,121.40483797923503
2000-02-09,1.52388057715330,0.442073307826831,-30.918702694989946,580.005265818278,126.08703459385274
2000-02-10,1.62548036808015,1.40907121013788,-29.040931378441286,229.178570730765,121.51878879755157
2000-02-11,1.54217643603195,1.57547725996619,-29.420573205318618,139.398554220874,138.69101923036817
2000-02-12,2.05880161825371,2.78197733375237,-28.085387002577733,107.030534934930,125.9193427509199
2000-02-13,1.77910713897464,0.0985565433461488,-27.042604210862464,662.319664892097,165.800382884114
2000-02-14,0.967100907742714,-5.82795597378663,-30.282759967344532,-28.4807279960480,155.7860178230598
2000-02-15,1.57833912154227,-5.77285393439115,-29.691949097250472,-106.894766776157,100.77011351442138
2000-02-16,1.38564020355661,-0.0129158056934102,-31.91959353370561,3086.18292713099,143.05863026256608
2000-02-17,0.963651895479086,1.69265631495182,-33.67165361198835,28.3760365649777,232.60182866496254
2000-02-18,0.864756505926885,-1.22313597074458,-31.347766043798487,-36.3273185964742,244.80790436356384
2000-02-19,1.95026005250184,-3.29341991497222,-29.785100173775618,-284.407598954901,88.44811229724957
2000-02-20,1.71425654118714,-3.52048996964231,-30.34826369344404,-187.324987710286,99.19480404301129
2000-02-21,1.14324330589984,-3.75875160842952,-32.65855028000968,-88.6356635048676,124.0397152816113
2000-02-22,1.37096089705726,-3.80771458683876,-32.89232013250867,-168.446034697843,99.77421525410352
2000-02-23,1.13340873091338,-1.54680205597288,-33.16467280573286,-174.827739017914,133.99823195828196
2000-02-24,0.859914343318217,-1.85485779075043,-34.93282185911994,-97.0908751198558,152.54337275269563
2000-02-25,0.560159200493157,-0.314942263076546,-37.01512918208152,-211.725849858754,218.53931130434276
